"spatial","temporal","metric","count"
1,1,1,11
1,1,2,11
1,1,3,4
1,1,4,2
1,1,5,1
1,1,,29
1,2,1,11
1,2,2,6
1,2,3,6
1,2,4,4
1,2,,27
1,3,1,17
1,3,2,8
1,3,3,10
1,3,4,4
1,3,,39
1,4,1,6
1,4,2,3
1,4,3,5
1,4,4,1
1,4,5,2
1,4,,17
1,5,1,12
1,5,2,10
1,5,3,3
1,5,4,1
1,5,5,2
1,5,,28
1,6,1,15
1,6,2,6
1,6,3,5
1,6,4,4
1,6,,30
1,,1,72
1,,2,44
1,,3,33
1,,4,16
1,,5,5
1,,,170
2,1,1,9
2,1,2,8
2,1,3,2
2,1,5,2
2,1,,21
2,2,1,5
2,2,2,5
2,2,3,3
2,2,4,1
2,2,,14
2,3,1,6
2,3,2,6
2,3,3,3
2,3,,15
2,4,1,11
2,4,2,4
2,4,3,4
2,4,4,3
2,4,5,2
2,4,,24
2,5,1,13
2,5,2,7
2,5,3,4
2,5,4,2
2,5,5,1
2,5,,27
2,6,1,8
2,6,2,1
2,6,3,4
2,6,,13
2,,1,52
2,,2,31
2,,3,20
2,,4,6
2,,5,5
2,,,114
3,1,1,3
3,1,2,1
3,1,3,4
3,1,4,2
3,1,,10
3,2,1,5
3,2,3,2
3,2,4,1
3,2,,8
3,3,1,8
3,3,2,3
3,3,3,3
3,3,4,1
3,3,,15
3,4,1,10
3,4,2,5
3,4,3,4
3,4,5,1
3,4,,20
3,5,1,3
3,5,2,2
3,5,3,4
3,5,4,1
3,5,,10
3,6,1,7
3,6,2,7
3,6,3,1
3,6,4,3
3,6,,18
3,,1,36
3,,2,18
3,,3,18
3,,4,8
3,,5,1
3,,,81
4,1,1,7
4,1,2,3
4,1,3,5
4,1,4,2
4,1,,17
4,2,1,15
4,2,2,6
4,2,3,5
4,2,4,1
4,2,,27
4,3,1,5
4,3,2,5
4,3,3,5
4,3,4,2
4,3,5,1
4,3,,18
4,4,1,7
4,4,2,4
4,4,3,2
4,4,,13
4,5,1,8
4,5,2,8
4,5,3,1
4,5,4,2
4,5,5,3
4,5,,22
4,6,1,9
4,6,2,6
4,6,3,4
4,6,4,1
4,6,5,1
4,6,,21
4,,1,51
4,,2,32
4,,3,22
4,,4,8
4,,5,5
4,,,118
5,1,1,2
5,1,2,2
5,1,3,2
5,1,4,1
5,1,5,1
5,1,,8
5,2,1,8
5,2,2,10
5,2,3,5
5,2,,23
5,3,1,6
5,3,2,2
5,3,3,2
5,3,4,2
5,3,5,1
5,3,,13
5,4,1,2
5,4,2,4
5,4,4,1
5,4,5,1
5,4,,8
5,5,1,11
5,5,2,5
5,5,3,1
5,5,4,3
5,5,5,1
5,5,,21
5,6,1,6
5,6,2,6
5,6,3,1
5,6,,13
5,,1,35
5,,2,29
5,,3,11
5,,4,7
5,,5,4
5,,,86
,1,1,32
,1,2,25
,1,3,17
,1,4,7
,1,5,4
,1,,85
,2,1,44
,2,2,27
,2,3,21
,2,4,7
,2,,99
,3,1,42
,3,2,24
,3,3,23
,3,4,9
,3,5,2
,3,,100
,4,1,36
,4,2,20
,4,3,15
,4,4,5
,4,5,6
,4,,82
,5,1,47
,5,2,32
,5,3,13
,5,4,9
,5,5,7
,5,,108
,6,1,45
,6,2,26
,6,3,15
,6,4,8
,6,5,1
,6,,95
,,1,246
,,2,154
,,3,104
,,4,45
,,5,20
,,,569
